name,shares,unit_cost,dividend,mkt_price,period,cost_amt,mkt_amt,div_amt,cost_pct,mkt_pct,pft_pct,div_rnk,amt_rnk
GVREIT,69000,7.75,0.7824,6.75,2,534750.0,465750.0,53985.6,10.1,11.59,-12.9,1.0,3.0
DIF,45000,12.7,0.8888,9.45,2,571500.0,425250.0,39996.0,7.0,9.41,-25.59,2.0,4.0
MCS,75000,15.312,0.75,8.35,2,1148400.0,626250.0,56250.0,4.9,8.98,-45.47,3.0,1.0
NER,27000,7.45,0.36,4.48,2,201150.0,120960.0,9720.0,4.83,8.04,-39.87,4.0,11.0
AIMIRT,17500,10.6,0.84,10.9,2,185500.0,190750.0,14700.0,7.92,7.71,2.83,5.0,8.0
TFFIF,20000,7.2,0.4633,6.25,2,144000.0,125000.0,9266.0,6.43,7.41,-13.19,6.5,10.0
WHAIR,50000,8.7,0.4557,6.15,2,435000.0,307500.0,22785.0,5.24,7.41,-29.31,6.5,5.0
PTT,7500,32.0,2.2,32.0,2,240000.0,240000.0,16500.0,6.88,6.88,0.0,8.0,6.0
SENA,105000,4.48,0.1112,1.69,2,470400.0,177450.0,11676.0,2.48,6.58,-62.28,9.0,9.0
WHART,20000,12.3,0.692,10.7,2,246000.0,214000.0,13840.0,5.63,6.47,-13.01,10.0,7.0
CPNREIT,55000,18.0,0.6444,11.3,2,990000.0,621500.0,35442.0,3.58,5.7,-37.22,11.0,2.0
