name,market,price,max_price,min_price,pe,pbv,paid_up,market_cap,daily_volume,beta,ticker_id
AAV,SET100 / SET100FF / SETCLMV / SETESG,1.06,1.96,0.95,6,1.03,1285,14006.5,179.08,1.4,732
AURA,SET100 / SET100FF / SETESG / SETWB,12.6,17.8,12.1,11.89,2.37,1335.84,17365.92,32.3,0.57,747
BTG,SET100 / SET100FF / SETESG / SETWB,19.4,24.8,15.4,5.82,1.21,9674,39469392,128.11,0.61,748
CCET,SET50 / SET50FF / SET100 / SET100FF,4.58,7.3,4.14,24.23,2,10450,49533.01,209.03,1.86,88
ERW,SET100 / SET100FF / SETESG,2.4,3.32,1.79,13.99,1.31,4886.93,11726.63,83.78,1.47,163
JAS,SET100 / SET100FF,1.19,1.8,1.06,9.99,1.37,4146.04,9867.57,44.45,1.06,233
JTS,SET100 / SET100FF,56,93.5,22.1,5502.21,44.97,706.46,39561.81,44.97,0.1,239
MOSHI,SET100 / SET100FF / SETESG,33.5,45.25,30.25,16.49,4.05,330,11055,25.2,0.57,749
PR9,SET100 / SET100FF / SETCLMV / SETESG / SETWB,16.2,26.75,15.7,15.48,2.17,786.3,12736.06,70.31,0.71,682
SISB,SET100 / SET100FF,10.3,19.6,9.35,10.06,2.45,470,9682,58.24,1.24,683
STECON,SET100 / SET100FF / SETESG,11.5,13.6,5,8.87,1.04,1519.08,17469.42,331.55,1.2,750
TIDLOR,SET50 / SET50FF / SET100 / SET100FF,15.4,22.5,13.4,9.04,1.3,10714.94,44597.32,257.43,1.29,723
TLI,SET50 / SET50FF / SET100 / SET100FF / SETHD / SETESG,10.4,12.7,9,10.02,0.77,11450,119080,183.24,0.77,751
